rang,a,b,a+b,a-b,ratio_a_b,a_pair,b_pair,chiffres
1,1,2,3,-1,0.5,False,True,4
2,2,1,3,1,2.0,True,False,3
3,3,1,4,2,3.0,False,False,4
4,1,5,6,-4,0.2,False,False,7
5,5,1,6,4,5.0,False,False,5
6,6,1,7,5,6.0,True,False,6
7,2,6,8,-4,0.3333,True,True,8
8,3,5,8,-2,0.6,False,False,8
9,4,4,8,0,1.0,True,True,7
10,2,8,10,-6,0.25,True,True,10
11,8,2,10,6,4.0,True,True,8
12,9,1,10,8,9.0,False,False,7
13,6,5,11,1,1.2,True,False,10
14,11,2,13,9,5.5,False,True,10
15,4,10,14,-6,0.4,True,True,13
16,10,4,14,6,2.5,True,True,11
17,1,15,16,-14,0.0667,False,False,16
18,13,3,16,10,4.3333,False,False,12
19,17,1,18,16,17.0,False,False,12
20,4,15,19,-11,0.2667,True,False,18
21,3,17,20,-14,0.1765,False,False,19
22,15,5,20,10,3.0,False,False,15
23,20,1,21,19,20.0,True,False,14
24,3,19,22,-16,0.1579,False,False,21
25,18,4,22,14,4.5,True,True,16
26,11,12,23,-1,0.9167,False,True,19
27,18,5,23,13,3.6,True,False,17
28,5,19,24,-14,0.2632,False,False,22
29,18,6,24,12,3.0,True,True,18
30,3,22,25,-19,0.1364,False,True,24
31,18,7,25,11,2.5714,True,False,19
32,3,23,26,-20,0.1304,False,False,25
33,22,4,26,18,5.5,True,True,18
34,21,6,27,15,3.5,False,True,19
35,24,4,28,20,6.0,True,True,19
36,5,26,31,-21,0.1923,False,True,29
37,15,16,31,-1,0.9375,False,True,25
38,30,1,31,29,30.0,True,False,20
39,23,9,32,14,2.5556,False,False,24
40,28,5,33,23,5.6,True,False,23
41,32,1,33,31,32.0,True,False,21
42,18,17,35,1,1.0588,True,False,28
43,5,31,36,-26,0.1613,False,False,34
44,23,14,37,9,1.6429,False,True,28
45,29,8,37,21,3.625,False,True,26
46,15,23,38,-8,0.6522,False,False,32
47,16,22,38,-6,0.7273,True,True,32
48,26,12,38,14,2.1667,True,True,28
49,13,27,40,-14,0.4815,False,False,35
50,21,19,40,2,1.1053,False,False,32
51,36,4,40,32,9.0,True,True,27
52,39,1,40,38,39.0,False,False,25
53,35,6,41,29,5.8333,False,True,28
54,36,5,41,31,7.2,True,False,28
55,4,39,43,-35,0.1026,True,False,41
56,10,33,43,-23,0.303,True,False,39
57,23,21,44,2,1.0952,False,False,35
58,28,16,44,12,1.75,True,True,33
59,32,12,44,20,2.6667,True,True,32
60,35,9,44,26,3.8889,False,False,31
61,44,2,46,42,22.0,True,True,29
62,24,24,48,0,1.0,True,True,38
63,36,12,48,24,3.0,True,True,34
64,9,40,49,-31,0.225,False,True,45
65,15,34,49,-19,0.4412,False,True,43
66,8,42,50,-34,0.1905,True,True,46
67,14,36,50,-22,0.3889,True,True,44
68,14,37,51,-23,0.3784,True,False,45
69,9,48,57,-39,0.1875,False,True,52
70,24,35,59,-11,0.6857,True,False,49
71,49,11,60,38,4.4545,False,False,41
72,15,46,61,-31,0.3261,False,True,54
73,3,59,62,-56,0.0508,False,False,59
74,51,11,62,40,4.6364,False,False,42
75,40,23,63,17,1.7391,True,False,47
76,51,13,64,38,3.9231,False,False,44
77,54,10,64,44,5.4,True,True,43
78,57,7,64,50,8.1429,False,False,42
79,19,46,65,-27,0.413,False,True,56
80,30,35,65,-5,0.8571,True,False,53
81,42,23,65,19,1.8261,True,False,48
82,3,64,67,-61,0.0469,False,True,64
83,33,34,67,-1,0.9706,False,True,53
84,59,8,67,51,7.375,False,True,44
85,63,4,67,59,15.75,False,True,43
86,39,29,68,10,1.3448,False,False,52
87,50,18,68,32,2.7778,True,True,48
88,22,47,69,-25,0.4681,True,False,59
89,49,20,69,29,2.45,False,True,50
90,26,44,70,-18,0.5909,True,True,59
91,6,65,71,-59,0.0923,True,False,67
92,54,17,71,37,3.1765,True,False,50
93,16,56,72,-40,0.2857,True,True,64
94,28,44,72,-16,0.6364,True,True,60
95,54,18,72,36,3.0,True,True,51
